,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
382,condado,21.88,-79.84,78.8,50,40,14.99,CU,1609273246
383,solwezi,-12.17,26.39,63.16,97,100,3,ZM,1609273247
384,alakurtti,66.97,30.35,21.99,90,100,5.99,RU,1609273249
385,nuuk,64.18,-51.72,30.2,63,75,31.09,GL,1609273250
386,alausi,-2.2,-78.83,69.8,46,75,13.87,EC,1609273251
387,yulara,-25.24,130.99,68,24,0,5.82,AU,1609273252
388,vao,-22.67,167.48,77.83,76,100,21.23,NC,1609273254
389,manaure,11.78,-72.44,82.47,61,79,13.82,CO,1609273255
390,bukachacha,52.98,116.92,-9.4,80,100,3.65,RU,1609273256
391,wanning,18.8,110.4,69.87,86,71,10.63,CN,1609273257
392,lewisporte,49.25,-55.05,33.8,86,90,13.87,CA,1609273259
393,port-cartier,50.03,-66.87,21,73,91,17.22,CA,1609273260
394,vung tau,10.35,107.08,77.7,78,100,1.95,VN,1609273172
395,ponce,18.07,-66.62,84.99,59,98,1.57,PR,1609273262
396,bairiki,1.33,172.98,77,100,75,12.75,KI,1609273263
397,panguna,-6.32,155.48,69.33,97,100,1.9,PG,1609273265
398,chimbote,-9.09,-78.58,74.64,70,54,14.7,PE,1609273266
399,sitka,57.05,-135.33,46.4,52,90,20.8,US,1609273267
400,vytegra,61.01,36.45,16.02,93,100,16.06,RU,1609273268
401,solenzo,12.18,-4.08,76.5,17,0,6.17,BF,1609273269
402,muros,42.78,-9.06,42.01,93,11,1.99,ES,1609273271
403,raga,8.46,25.68,75.49,26,0,3.33,SS,1609273272
404,la ronge,55.1,-105.28,15.8,78,77,6.93,CA,1609273273
405,monte alegre,-2.01,-54.07,78.73,90,100,3.27,BR,1609273274
406,hambantota,6.12,81.12,75.97,84,0,7.52,LK,1609273275
407,mecca,21.43,39.83,75.76,75,20,4.36,SA,1609273083
408,guymon,36.68,-101.48,50,71,20,17.22,US,1609273278
409,kitakata,37.65,139.87,34,88,64,2.48,JP,1609273279
410,chapais,49.78,-74.85,6.8,77,90,11.41,CA,1609273060
411,caxias,38.7,-9.28,50,87,20,4.7,PT,1609272997
412,talara,-4.58,-81.27,86,51,0,21.92,PE,1609273283
413,udachnyy,66.42,112.4,-16.6,68,90,8.95,RU,1609273284
414,santo amaro,-12.55,-38.71,82.4,61,20,10.29,BR,1609273285
415,qasigiannguit,68.82,-51.19,19.4,62,40,23.04,GL,1609273287
416,ketchikan,55.34,-131.65,39.2,80,90,26.4,US,1609273288
417,sangmelima,2.93,11.98,72.82,79,100,4.76,CM,1609273289
418,rawlins,41.79,-107.24,21.2,57,1,10.58,US,1609273290
419,tucuma,-0.18,-50.05,83.98,71,99,8.55,BR,1609273292
420,makokou,0.57,12.86,72,93,100,4.29,GA,1609273293
421,westport,41.14,-73.36,36,47,40,13.87,US,1609273090
