City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
port alfred,-33.59,26.89,68,85,25,3,ZA,1609453377
rocha,-34.48,-54.33,67.93,43,0,5.95,UY,1609453379
mataura,-46.19,168.86,55,97,100,3,NZ,1609453380
jamestown,42.1,-79.24,30,79,90,3.56,US,1609453381
vieste,41.88,16.18,41,93,5,1.12,IT,1609453382
puerto ayora,-0.74,-90.35,80.6,61,75,21.92,EC,1609453384
belle glade,26.68,-80.67,75.99,82,0,3,US,1609453345
rikitea,-23.12,-134.97,77.85,76,15,13.35,PF,1609453386
sadu,45.67,24.18,43,93,75,2.24,RO,1609453388
busselton,-33.65,115.33,63,83,0,3,AU,1609453389
qaanaaq,77.48,-69.36,11.43,80,100,6.69,GL,1609453390
sisophon,13.59,102.97,60.85,66,40,9.13,KH,1609453391
nikolskoye,59.7,30.79,34,95,90,4.47,RU,1609453393
cape town,-33.93,18.42,66,59,40,13.87,ZA,1609453394
meulaboh,4.14,96.13,75.76,91,100,5.44,ID,1609453395
forquilhinha,-28.75,-49.47,71.02,79,99,0.63,BR,1609453396
shar,49.59,81.05,-13.34,90,88,2.53,KZ,1609453397
bluff,-46.6,168.33,55,97,100,3,NZ,1609453399
kavieng,-2.57,150.8,83.8,72,73,9.95,PG,1609453400
dakar,14.69,-17.44,71.6,88,0,11.41,SN,1609453212
atuona,-9.8,-139.03,78.6,76,3,18.16,PF,1609453402
punta arenas,-53.15,-70.92,57.2,71,75,14.99,CL,1609453374
arraial do cabo,-22.97,-42.03,82.4,69,40,9.17,BR,1609453302
tuktoyaktuk,69.45,-133.04,-27.4,74,20,10.29,CA,1609453406
kapaa,22.08,-159.32,78.8,69,20,20.8,US,1609453201
cherskiy,68.75,161.3,-42.12,81,100,3.4,RU,1609453409
pacasmayo,-7.4,-79.57,72.34,72,78,12.84,PE,1609453410
georgetown,5.41,100.34,78.8,78,20,3.36,MY,1609453278
bambous virieux,-20.34,57.76,77,73,40,16.11,MU,1609453413
the valley,18.22,-63.06,80.6,61,20,17.22,AI,1609453398
druzhba,52.04,33.95,32.56,96,100,13.82,UA,1609453415
ponta do sol,32.67,-17.1,59,77,40,5.82,PT,1609453417
concordia,-31.39,-58.02,79,42,0,4,AR,1609453418
goderich,43.75,-81.72,32,92,82,5.82,CA,1609453419
nanortalik,60.14,-45.24,32.85,95,99,1.95,GL,1609453420
avera,33.19,-82.53,59,96,90,4.83,US,1609453421
upernavik,72.79,-56.15,28.98,98,100,13.6,GL,1609453423
bethel,41.37,-73.41,37,76,100,3.49,US,1609453424
tura,25.52,90.22,56.62,66,81,3.62,IN,1609453425
okhotsk,59.38,143.3,-2.6,82,93,18.16,RU,1609453426
carnarvon,-24.87,113.63,75.2,94,0,13.87,AU,1609452957
albany,42.6,-73.97,36,60,100,3,US,1609453429
parakou,9.34,2.63,77.13,23,68,4.56,BJ,1609453430
ushuaia,-54.8,-68.3,59,47,20,20.8,AR,1609453431
khatanga,71.97,102.5,-26.45,84,99,12.71,RU,1609453433
castro,-24.79,-50.01,64.24,92,100,4.45,BR,1609453434
liverpool,53.41,-2.98,34,87,97,3.36,GB,1609453435
gunjur,13.2,-16.73,75.2,78,0,9.71,GM,1609453436
yellowknife,62.46,-114.35,-2.2,84,90,3.36,CA,1609453438
ribeira grande,38.52,-28.7,59,87,75,19.46,PT,1609453439
tiksi,71.69,128.87,-15.93,88,100,8.97,RU,1609453440
norman wells,65.28,-126.83,-7.6,76,90,6.93,CA,1609453441
urumqi,43.8,87.6,1.4,77,0,2.24,CN,1609453443
san quintin,30.48,-115.95,60.03,71,48,22.88,MX,1609453369
tasiilaq,65.61,-37.64,28.4,92,100,34.45,GL,1609453445
zhob,31.34,69.45,37.65,57,0,1.45,PK,1609453446
chuy,-33.7,-53.46,66.4,49,0,9.13,UY,1609453448
barrow,71.29,-156.79,-18.4,68,20,14.99,US,1609453449
nome,64.5,-165.41,23,92,90,17.22,US,1609453450
hobart,-42.88,147.33,63,67,75,5.82,AU,1609453208
bredasdorp,-34.53,20.04,62.6,67,26,4.7,ZA,1609453452
hilo,19.73,-155.09,78.8,65,40,3.36,US,1609453393
adrar,20.5,-10.07,65.53,35,23,10.36,MR,1609453243
hasaki,35.73,140.83,21.2,92,20,4.7,JP,1609453456
pitimbu,-7.47,-34.81,80.6,78,75,12.75,BR,1609453458
avarua,-21.21,-159.78,84.2,74,50,5.82,CK,1609453200
hamilton,39.18,-84.53,33.01,81,100,1.99,US,1609453012
grindavik,63.84,-22.43,33.8,100,90,5.82,IS,1609453461
geraldton,-28.77,114.6,71.6,78,90,5.82,AU,1609453463
mehamn,71.04,27.85,24.01,96,22,11.54,NO,1609453225
hithadhoo,-0.6,73.08,82.29,78,100,13.69,MV,1609453465
seoul,37.57,126.98,14,78,90,3.24,KR,1609453208
lokachi,50.74,24.65,41,98,100,9.08,UA,1609453468
noumea,-22.28,166.46,82,88,100,8.05,NC,1609453469
waingapu,-9.66,120.26,78.51,77,100,3.18,ID,1609453470
henties bay,-22.12,14.28,63,88,77,5.57,NA,1609453471
pochutla,15.74,-96.47,89.01,31,5,17.22,MX,1609453473
vardo,70.37,31.11,30.47,94,8,11.07,NO,1609453474
new norfolk,-42.78,147.06,64,69,71,1.01,AU,1609453475
pentecoste,-3.79,-39.27,81,78,29,14,BR,1609453477
dikson,73.51,80.55,-14.39,86,100,14.47,RU,1609453478
malanje,-9.54,16.34,64.96,97,100,4.81,AO,1609453479
severo-kurilsk,50.68,156.12,27.25,95,100,13.13,RU,1609453480
kodiak,57.79,-152.41,37.4,86,75,11.41,US,1609453437
constitucion,-35.33,-72.42,65.62,58,99,16.91,CL,1609453483
vostok,46.49,135.88,-19.55,88,100,4.68,RU,1609453484
maralal,1.1,36.7,59.36,91,100,3.29,KE,1609453485
cayenne,4.93,-52.33,80.6,88,90,3.36,GF,1609453267
hofn,64.25,-15.21,30.15,87,0,5.84,IS,1609453488
cockburn town,21.46,-71.14,78.8,61,40,13.87,TC,1609453489
makakilo city,21.35,-158.09,82.4,51,1,13.87,US,1609453459
